Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
Elage,1989,7.2,Sci-Fi,1h 29m,,Jahangir Zeynally,,"Fikret Mamedov,Rifat Aliyev,Ilqar Hasanov"
Praktkarn,2021,,"Horror,Mystery,Sci-Fi",1h 38m,,Jumpoth Ruayjaroensap,"Ten Decibel,Grop Jirat,Homsap Chanchana","Akarin Akaranitimaytharatt,Jintai Antimanon,Bancha Boomsomsuk"
Anthology of horror 8,2018,7.6,"Drama,Horror,Sci-Fi",1h 16m,,Sergey A.,,"Alexandr Gnatushko,Kirill Mieliekiestsev,Sergey A."
Crops,2006,4.2,"Action,Adventure,Sci-Fi",1h 40m,,George Butiri,,"Ray Goodwin,Shelia Weiss,Edward Goodwin"
Zen & the Asteroid,2005,,Sci-Fi,1h 50m,,"Dan Otero,Javier Arellano","Dan Otero,Javier Arellano","Javier Arellano,Wil Albarez,Amy Archuleta"
New Order,2012,3.3,"Fantasy,Sci-Fi,Thriller",1h 20m , Not Rated,Marco Rosson,,"David Wurawa,Franco Nero,James Kelly"
Chyornoe zerkalo po-russki,2019,5.5,Sci-Fi,1h 16m,,"Boris Biaou,Iashvili George,Maks Belskiy","Vladimir Bliznetsov,Boris Biaou,Maks Belskiy","Marina Aristarkova,Aram Arutyunyan,Karina Andreyenko"
The Vindication of Ronald Clay,2012,,"Action,Comedy,Drama",1h 30m,,Cullen Thomas,,"Steve White,David J. Murphy,Elizabeth Huebner"
O ippotis tis lakouvas,1985,4.7,"Comedy,Sci-Fi",1h 33m,,Omiros Efstratiadis,,"Alberto Eskenazy,Sofi Zanninou,Kostas Voutsas"
Conejos Asesinos,2018,,"Sci-Fi,Thriller","Conejos Asesinos: Directed by Felipe Tellez. With Darell M. Davie, Felipe Tellez, Iván Cruz, Mary Lopez.",,Felipe Tellez,,"Darell M. Davie,Iván Cruz,Felipe Tellez"
Suicide or Lulu and Me in a World Made for Two,2014,7.4,"Comedy,Drama,Sci-Fi",1h 45m,,Christian Carroll,,"Brian Shoop,Adeline Thery,Christian Carroll"
Steeplechase,2022,,Sci-Fi,"Steeplechase: Directed by Andrey Kezzyn. With Seth Lloyd, Michele Reilly. Two physicist collaborators use a quantum computer to simulate a projective closed time-like curve, the mathematics of time travel, using themselves as the frame of reference. This takes them on an unexpected journey into themselves.",,Andrey Kezzyn,,"Michele Reilly,Seth Lloyd"
Out of Darkness: Cleveland,2018,,"Crime,Sci-Fi","Out of Darkness: Cleveland: Directed by Darryl Epp, Alex Michaels. With Robyn Cohen, Chris Hahn, Victoria Paege, Melissa Santiago. A city named ""Cleaveland, OH"" is on the edge and the government steps in with a special task FORCE who can suspend the rights of citizens to keep the peace.",,"Darryl Epp,Alex Michaels","Jaime Sara Rotsky,Jennifer Mitchell,Alex Michaels","Chris Hahn,Victoria Paege,Robyn Cohen"
Tera senshi sai boy,1985,5.9,"Comedy,Sci-Fi",1h 41m,,Akinobu Ishiyama,,"Sumi Shimamoto,Momoko Kikuchi"
Tomb,2016,4.4,"Sci-Fi,Thriller",1h 23m,,Nick Attin,,"Anokha Baptiste,Alister Edwards,Rebecca M Foster"
Nightclubber,2003,4.1,Sci-Fi,1h 41m,,"Dale C. Reeves,Steve Morelli","Dale C. Reeves,Steve Morelli","Dale C. Reeves,Adam La Rosa,Marnie Franklin"
June 6th,2013,,"Comedy,Sci-Fi",1h 50m,,"Takahito Hara,Hajime Ishida,Yoshikazu Ishii","Hajime Ishida,Keisuke Kanayama,Yuki Andô","Joe Bryan Baker,Ayako Fujita,Nobuko Hirakawa"
Cinta Yang Satu,2007,,"Comedy,Sci-Fi",1h 34m,,Zulkifli M. Osman,,"Siti Elizad,Sharifah Sofia,Zul Huzaimy"
Alien Theory,2019,5.9,"Action,Sci-Fi,Thriller",1h 40m,,Michael Ryan Hahn,,"David McElroy,Andre Hall,Elisabeth Meurer"
Porobashinee,2017,4.9,"Action,Sci-Fi,Thriller","Porobashinee: Directed by Swapan Ahmed. With Sabyasachi Chakrabarty, Mamnun Hasan Emon, June Malia, Reeth Mazumder-Roberts. Many Countries use Nuclear Weapons to fight among themselves and due to Nuclear Radiation the world faces destruction. The scientists predicts Human won't survive On Eath in near future. So They start looking for another planet for Human Settlement. A Group of Bangladeshi Scientists discovers an ideal planet ""aris-32"" for human settlement, and think about building a settlement in order to Save people from Nuclear Radiation but The Aliens Percieve the plan so They come to earth with a mission to destroy the Satellite Technology. The mission is led by a talented Alien Mehez (Mehzabein Chowdhury).The Aliens Come Very close to Destroying the Satellite Technology but Mehez falls in love with Nirob. Mehez Gets exposed to Humans and Nirob fights to save her.",,Swapan Ahmed,"Swapan Ahmed,Maliha K. Ahmed","Sabyasachi Chakrabarty,Mamnun Hasan Emon,June Malia"
Robo-Dorks: Aspiration,2013,,"Action,Drama,Sci-Fi",1h 15m,,A.K. Moore,"Hilary Cheren,A.K. Moore","Daniel Arnoux,Danielle Bieniek,Nicholas Burton"
Armored Trooper VOTOMS: Alone Again,2011,6.6,"Animation,Action,Drama",50m , TV-MA,"Kazuyoshi Takeuchi,Ryôsuke Takahashi","Hajime Yatate,Ryôsuke Takahashi,Masashi Ikeda",
Prosopagnosia,2023,,"Fantasy,Horror,Sci-Fi",11m,,Juan Bermúdez,"Alejandro Gómez,Juan Bermúdez","Alba Carrillo,Alfredo Zamora,Rafael Sandoval"
Wake-Up Callz,2008,4.7,"Adventure,Fantasy,Sci-Fi",1h 33m , PG,Scott Kunkle,,"Christine Laydon,Kreskin,Danielle Ciardi"
AUN: The Beginning and the End of All Things,2011,5.6,"Fantasy,Sci-Fi",1h 40m , TV-14,Edgar Honetschläger,"Edgar Honetschläger,Reinhard Jud","William Ferreira,Tenji Kamogawa,Yûki Hiyori"
Sentinel 2099 SE,2018,,Sci-Fi,1h 44m,,Michael McGee,,"Sam Bishop,Roxann Barnes,Rebekah Ellis"
Never Die Twice,2001,6.6,Sci-Fi,"Never Die Twice: Directed by Sean Scott. With Claudia Christian, Patricia Tallman, Steven Anthony Jones, Robert Sicular. Two Female San Francisco police detectives find their own bodies dead on the ground. They have four days to investigate their own deaths before it happens again.",,Sean Scott,"Sean Scott,Nancy L. Kelly","Patricia Tallman,Claudia Christian,Steven Anthony Jones"
Gong,2003,6.5,"Drama,Sci-Fi",1h 21m,,Tae-Su Bae,,"Akane Iwasaki,Hitomi Takashima,Kenjiro Hayashi"
Escape the Dark,2017,6.1,"Horror,Sci-Fi",1h 40m,,"Ben DeLoose,Matthew Chilelli","Ben DeLoose,Matthew Chilelli","Erik Moody,Karli Kaiser,Sarah Nicklin"
Zona Invadida,2014,4.8,"Drama,Sci-Fi,Thriller",1h 30m,,"Hector Campos,Ulises Meixueiro",,"Mario Almada,Mayté Carranco,Daniela Amaya"
Mrugjal... Ek Naslela Astitva,2000,6.9,"Drama,Sci-Fi,Thriller","Mrugjal... Ek Naslela Astitva: Directed by Satish Rajwade. With Sachin Khedekar, Tushar Dalvi, Bhakti Kulkarni, Sandhya Barekar. Mumbai-based Shantanu Joglekar weds his fellow-collegian, Sharmila, and they soon become parents of Meeta. After 8 years they re-locate to live in a bungalow in Pune where they enroll Meeta in a school. Their harmonious lifestyle will suddenly change after Meeta starts having nightmares, and Sharmila complains of being stalked by an unknown male.",,Satish Rajwade,"Satish Rajwade,Prem Kumar Bhave","Tushar Dalvi,Bhakti Kulkarni,Sachin Khedekar"
Failure,2017,8.0,Sci-Fi,"Failure: Directed by James W. Hawk. With Rebecca Leih Cashman, E. Leonard Martenson, Greg Nutcher.",,James W. Hawk,,"E. Leonard Martenson,Rebecca Leih Cashman,Greg Nutcher"
Dangerous Stories,1989,5.5,"Horror,Sci-Fi",1h 45m,,"Kazuyuki Izutsu,Kiyoshi Kurosawa,Banmei Takahashi","Kiyoshi Kurosawa,Junji Sakamoto,Ataru Oikawa","Renji Ishibashi,Yoriko Dôguchi,Takashi Ebata"
Kak stat schastlivym,1986,6.7,"Comedy,Musical,Sci-Fi",1h 29m,,Yuriy Chulyukin,"Georgi Kushnirenko,Yuriy Chulyukin","Lev Durov,Nikolay Karachentsov,Marina Dyuzheva"
Rogue Cell,2019,3.7,"Action,Drama,Sci-Fi",1h 16m,,Bryan G. Thompson,,"Frances Mitchell,Bob Thompson,Bryan G. Thompson"
Troubled Rivers,2012,6.7,"Adventure,Comedy,Sci-Fi",45m,,Enrique Diego,,"Judit Molero,Nicola Reale,Alberto Millán"
Möbius,1993,6.2,Sci-Fi,1h 30m,,Matti Geschonneck,"Armin Deutsch,Matti Geschonneck","Hans-Peter Korff,Diether Krebs,Corinna Kirchhoff"
I Killed Someone,2022,,"Adventure,Drama,Horror","I Killed Someone: With Manos Krystalis. Richard is waking up in a hostel but an unpleasant scary moment is expecting him. No one is in the hostel and no cars are outside in the streets either. In fact not even the employees of the hostel are present. The street reminds an earth that no one ever walked except you as the first person walking on it. The story is based on true events and it's up to the viewers discretion to decide whether a scenario like this is even possible to take place in life. Some people call it Mandela Effect. Some others believe that Revelation's signs will be as terrifying as the scenes you are about to watch in this movie. People disappeared, others moved in unknown destinations, some even pronounced deceased. But they all have one thing in common. There are no details surrounding to their sudden ""absence"". Richard soon realizes that he needs to keep his sanity if he wants to find out who is behind all this.",,,,
Spider-Man: Commencement,2017,8.2,Sci-Fi,"Spider-Man: Commencement: Directed by Cameron Dodd. With Mark Ricci, Cheryl De Luca, Ray Ulbikas, Kaleb Carmichael. A prequel which takes place two years before Spider-Man: Balance Act (2016)",,Cameron Dodd,"Kaleb Carmichael,Cameron Dodd,Mark Ricci","Cheryl De Luca,Ray Ulbikas,Mark Ricci"
L'invité de la onzième heure,1945,5.9,"Drama,Sci-Fi","L'invité de la onzième heure: Directed by Maurice Cloche. With Jean Tissier, Roger Pigaut, Blanchette Brunoy, Junie Astor. A scientist invents a sensational machine which can read the mind.",,Maurice Cloche,"Nino Frank,Maurice Cloche,Jean Ferry","Jean Tissier,Roger Pigaut,Blanchette Brunoy"
The Human Beeing,2002,7.2,"Comedy,Horror,Sci-Fi","The Human Beeing: Directed by Tony Shea. With Jim Coughlin, Andy Abramowicz, Ronit Feinglass Plank, John Varga.",,Tony Shea,"Jim Coughlin,Andy Abramowicz,Colin Harper Plank","Jim Coughlin,Andy Abramowicz,Ronit Feinglass Plank"
The Genius,1993,4.7,"Comedy,Crime,Sci-Fi",1h 26m , Unrated,"Emily Breer,Joe Gibbons","Emily Breer,Joe Gibbons","Tony Oursler,Karen Finley,Joe Gibbons"
Centauri 29,2023,,"Adventure,Sci-Fi","Centauri 29: Directed by David Jon Foster. With Aaron Pina, David Jon Foster, Mark Kadrich, Christopher Willson. When a NASA Ark spaceship disappears during its mission to colonize Mars a private aerospace company embarks on a daring secret mission to find it.",,David Jon Foster,,"Aaron Pina,Mark Kadrich,David Jon Foster"
Shuto shôshitsu,1987,5.4,"Mystery,Sci-Fi",2h,,Toshio Masuda,"Toshio Masuda,Hiroyasu Yamaura,Sakyô Komatsu","Eimei Esumi,Dennis Falt,Midori Ebina"
Eternal Quon 4: The Roaring Anxiety,2011,6.8,"Animation,Action,Fantasy",48m,,"Umanosuke Iida,Takeshi Mori","Masashi Sogo,Toshizo Nemoto","Jessica Boone,Elizabeth Bunch,Leraldo Anzaldua"
The Atomic Zombie Space Creeps,2017,3.2,"Comedy,Sci-Fi",54m,,Aaron James Martin,,"Chad Parsons,John Jacobs,Blake Meadows"
Starfall: Infinite,2023,,"Action,Adventure,Horror","Starfall: Infinite: Directed by Carson Kelly. With Carson Kelly. STARFALL: INFINITE takes place in a post-apocalyptic world, where Kit, a resilient survivor, embarks on a journey for redemption and justice. As they navigate the war-torn wastelands, Kit encounters other survivors, confronts oppressive forces, and becomes a central figure in a rebellion against tyranny. The story explores themes of survival, moral dilemmas, and the power of unity, highlighting the indomitable spirit of humanity in the face of overwhelming challenges.",,Carson Kelly,,
Ingress,2016,,"Drama,Sci-Fi",1h 42m,,Christian Blake,,"Preston Savelle,Ethan Gallardo,Christian Blake"
Rokovye yaytsa,1996,4.6,"Comedy,Sci-Fi",1h 59m , Not Rated,Sergei Lomkin,"Mikhail A. Bulgakov,Sergei Lomkin,Vladimir Gurkin","Oleg Yankovskiy,Nina Usatova,Andrey Tolubeev"
The Void Volume II,2018,,Sci-Fi,"IMDb is the world's most popular and authoritative source for movie, TV and celebrity content. Find ratings and reviews for the newest movie and TV shows. Get personalized recommendations, and learn where to watch across hundreds of streaming providers.",,,,
Gothic Assassins,2012,5.9,"Action,Drama,Sci-Fi",1h 56m,,Milos Twilight,,"Olya Casey,Steven Bauer,Amra Silajdzic"
YouChoose,2018,,"Sci-Fi,Thriller",1h 40m,,Adam Hardman,,"Joel Friedrich,Shannon Walsh,Neely Johnson"
Teni protiv vzryvov,2021,,"Animation,Adventure,Comedy","Teni protiv vzryvov: Directed by Kovach. With Kovach, Egor Mitrofanov, Bektur Temirov, Aleksandr Gavrilin. Two birds, Fry Ongy and Raimi, learn about the organization ""Winged Pig"", which until this time was considered to be disintegrated. Meanwhile, a confrontation flares up between the ""Winged Pig"" and the Dark Agent clan",,Kovach,"General Argeon,Bektur Temirov,Kovach","Egor Mitrofanov,Bektur Temirov,Kovach"
Body Defenders,2018,,"Animation,Action,Adventure",1h 45m,,Patrick Garcia,"George Garcia,Patrick Garcia","Lyall Mabin,Jaz Hughes,Ryan Flynn"
Futurus - Robot contro uomini,2019,8.5,Sci-Fi,50m,,"Luigi Zanuso,Umberto Baccolo","Luigi Zanuso,Umberto Baccolo","Luigi Zanuso,Gaia Chon Grimaldi,Umberto Baccolo"
The National Union of Space People,2016,,"Action,Comedy,Drama","The National Union of Space People: Directed by Tim Griffiths. With Bill Fellows, Brian Capron, Jonathan Linsley, Jeffrey Holland. As Britain looks set to succeed in the first step towards world nuclear disarmament, outer space has other plans that could spell a catastrophic end to Britain, Europe and the world.",,Tim Griffiths,"Tim Griffiths,Luke Vincent","Jonathan Linsley,Brian Capron,Bill Fellows"
The Secret of Immortal Code,2018,5.3,"Action,Horror,Sci-Fi",1h 28m,,"Nan Zhang,Wei Li","Yijia Fang,Hongfan Wang,Shifu Li","Jing Liang,Landi Li,Lixin Zhao"
Ingénue,2013,6.7,"Drama,Family,Sci-Fi",1h 20m,,Kate Chaplin,,"Melissa Chapman,Raymond Kester,Sarah Moore"
Dr. Bong,1995,5.3,"Comedy,Romance,Sci-Fi",1h 32m,,Kwang-hoon Lee,,"Han Suk-kyu,Jeong Choi,Kim Hye-su"
Kass kukub käppadele,1999,4.9,"Adventure,Sci-Fi,Thriller",1h 25m,,"Jaak Kilmi,Peter Herzog,Rainer Sarnet","Jaak Kilmi,Peter Herzog,Taavi Eelmaa","Kaia Skoblov,René Reinumägi,Regina Razuma"
Neutrón contra el Dr. Caronte,1963,5.9,"Sci-Fi,Action,Horror",1h 20m,,Federico Curiel,"Federico Curiel,Alfredo Ruanova","Wolf Ruvinskis,Julio Alemán,Armando Silvestre"
Godzilla: The Terror of Doom,2016,,Sci-Fi,"Godzilla: The Terror of Doom: Directed by Drew Bromley, Brendan Bromley, Greysen Davis. With Brendan Bromley, Drew Bromley, Greysen Davis, Shôichi Hirose.",,"Brendan Bromley,Greysen Davis,Drew Bromley","Charles Cribley,Drew Bromley,Brendan Bromley","Greysen Davis,Drew Bromley,Brendan Bromley"
Raspberry1508,2023,,"Drama,Sci-Fi",1h 12m,,Nadina Helen Bakos,"Cristo Borrachero,Cecilie Holtan,Nadina Helen Bakos","Mathilde Bakke,Tobias Aksdal,Cristo Borrachero"
A Breath of Air,1983,4.4,"Drama,Sci-Fi,Thriller",1h 54m,,Bozo Sprajc,,"Ivo Ban,Draga Potocnjak,Milena Zupancic"
TWD Express: Rolling Takeoff,1987,4.6,"Animation,Action,Adventure",55m,,Kunihiko Yuyama,"Izô Hashimoto,Yuki Hijiri","Keiichi Nanba,Akio Nojima,Kaneto Shiozawa"
Darna at ang Babaing Tuod,1965,5.0,"Action,Adventure,Family","Darna at ang Babaing Tuod: Directed by Cirio H. Santiago. With Eva Montes, Gina Alonzo, Nancy Roman, Tito Galla. The first Darna epic in full color.",,Cirio H. Santiago,"Nestor Redondo,Mars Ravelo,Ruben Rustia","Eva Montes,Gina Alonzo,Nancy Roman"
Spherular,2022,,"Fantasy,Sci-Fi",1h,,Marcus McMahon,,"Jonathan Haart,Alex Batareanu,Marcus McMahon"
CrossFyre - Tao of Destiny,2022,,Sci-Fi,"IMDb is the world's most popular and authoritative source for movie, TV and celebrity content. Find ratings and reviews for the newest movie and TV shows. Get personalized recommendations, and learn where to watch across hundreds of streaming providers.",,,,
Computer Kombat,1997,,"Adventure,Comedy,Fantasy","Computer Kombat: Directed by Junn P. Cabreira. With Aiza Seguerra, Meryll Soriano, Spencer Reyes, Migui Moreno.",,Junn P. Cabreira,,"Meryll Soriano,Spencer Reyes,Aiza Seguerra"
La città dell'ultima paura,1975,6.5,"Drama,Sci-Fi",1h 13m,,Carlo Ausino,,"Emanuele Cannarsa,Marisa Solinas,Mario Valdemarin"
MOB 2025,2001,3.3,"Action,Sci-Fi","MOB 2025: Directed by Kwon Hyeong-jin. With Lee Jung-jae, Yoo Ji-tae, Yun-yeong Choi. In the near future, various factions will wage a secret battle for untold treasure and ultimate power.",,Kwon Hyeong-jin,,"Lee Jung-jae,Yoo Ji-tae,Yun-yeong Choi"
Une vie en l'air,2004,7.1,Sci-Fi,45m,,Emmanuel Malka,"Philippe Collot,Emmanuel Malka,Eric Prunier","Antoine Basler,Eric Landrein,Lison Riess"
Soukou Kihei Votoms: Pailsen Files Movie,2009,5.6,"Animation,Action,Drama",1h 58m , TV-MA,Ryôsuke Takahashi,"Ryôsuke Takahashi,Masayuki Nishimura,Yoshitake Suzuki","Kinryû Arimoto,Tetsuo Gotô,Hisao Egawa"
The Santiso Report,2015,5.0,"Mystery,Sci-Fi,Thriller",1h 26m,,Brian Maya,"Omar Quiroga,Eduardo Marando","Carlos Belloso,Agustina Córdova,Leonora Balcarce"
Szíriusz,1942,6.3,"History,Romance,Sci-Fi",1h 38m,,Dezsõ Ákos Hamza,"Péter Rákóczi,Ferenc Herczeg,Imre Földes","László Szilassy,Katalin Karády,Elemér Baló"
Cudoviste iz Tamisa,2006,6.4,"Comedy,Mystery,Sci-Fi",1h 17m,,Nebojsa Nenadic,,"Mladen Sovilj,Jelena Djulvezan,Vladimir Mrdakovic"
Máquina para ver el alma,2021,8.4,"Comedy,Drama,Romance",1h 52m,,"Ana Laura Monserrat,Nahuel Srnec",,"Camila Blasco,Juan Cruz Márquez de la Serna,Jenni Merla"
Lansky's Road,1985,,Sci-Fi,"Lansky's Road: Directed by Richard Farr. A couple is abducted by aliens. After they are released, they are hounded by both the media and government agents trying to discover what they might have learned about the aliens.",,Richard Farr,,
The Voice from the Sky,1929,,Sci-Fi,"The Voice from the Sky: Directed by Ben F. Wilson. With Hal Taliaferro, Neva Gerber, Robert Walker, J.P. Lockney. A crazed scientist calling himself The Voice from the Sky broadcasts his voice all across the globe, and threatens to suspend all energy in the earth's atmosphere and turn day into night unless the world immediately destroys all arms and vehicles of warfare. U. S. Secret Service agent Jack Deering is sent to Arizona to investigate, where he meets the scientist's daughter Jean. The ten-episode battle then ensues between Deering, a spy for the Russian government, an agent from Scotland Yard, and a mysterious cloaked ""Man from Nowhere,"" who pursue each other from Canada to California in the attempt to acquire the ""secret of the air.""",,Ben F. Wilson,,"Hal Taliaferro,Robert Walker,Neva Gerber"
"1, 2, 3, Whiteout",2007,6.0,"Drama,Sci-Fi",1h 15m,,James June Schneider,,"Nehra Stella,Lou Castel,Karine Adrover"
The Past Tense,2018,6.2,"Comedy,Sci-Fi",1h 5m , Not Rated,William Conrad,,"Sam Asante,Dan Bertolini,Violet Conrad"
El superloco,1937,4.6,"Comedy,Horror,Sci-Fi",1h 5m,,Juan José Segura,"Jorge Cardeña Álvarez,Juan José Segura","Carlos Villarías,Aurora Campuzano,Leopoldo 'Chato' Ortín"
The Creation,2015,,Sci-Fi,The Creation: Directed by Julian Rosefeldt. With Christian Skibinski.,,Julian Rosefeldt,,
Xenobites,2008,6.3,"Action,Crime,Horror",1h 54m,,Michael Fredianelli,,"Jana Ireton,Michael Fredianelli,Kevin Giffin"
The Ghost Tank,2020,3.7,"Fantasy,Horror,Sci-Fi",1h 37m,,Blaise Kolodychuk,,"Beth Murray,Frankie van Rooyen,Randolph West"
Golden Windows,2019,,"Horror,Mystery,Sci-Fi",1h 30m,,Jamie Robert MacDougall,,"Maryann Carter,Christopher Bourque,Kitty Carlton"
Prism,2007,3.5,"Drama,Mystery,Sci-Fi",1h 57m , R,David G. Simmons,,"Karen Garcia,Jeremy Childs,Brett Lee Alexander"
Dogura Magura,2012,,"Animation,Fantasy,Horror",1h 6m,,Kaisei Kishi,"Kyuusaku Yumeno,Kaisei Kishi","Yûko Gibu,Akiko Ashizawa,Masakazu Kohara"
The Amazing Adventures of Joe 90,1981,,Sci-Fi,"The Amazing Adventures of Joe 90: With Keith Alexander, Sylvia Anderson, Rupert Davies, Gary Files.",,,"Gerry Anderson,Tony Barwick,Sylvia Anderson","Keith Alexander,Rupert Davies,Sylvia Anderson"
Starfall: Martians Rising,2023,,"Action,Adventure,Romance",Starfall: Martians Rising: Directed by Carson Kelly. With Carson Kelly.,,Carson Kelly,,
Gekko kamen - kaiju Kongu,1959,6.0,"Action,Adventure,Drama",1h,,Satoru Ainoda,,"Mitsue Komiya,Yaeko Wakamizu,Fumitake Ômura"
Le maître du temps,1971,6.1,"Drama,Sci-Fi",1h 10m,,Jean-Daniel Pollet,"Pierre Kast,Jean-Daniel Pollet","Renato Coutinho,Uracy D'Oliveira,Duda Cavalcanti"
Doraemon: Nobita and the Haunts of Evil,1982,6.8,"Animation,Adventure,Comedy",1h 31m,,Hideo Nishimaki,,"Kaneta Kimotsuki,Sachiko Chijimatsu,Masayuki Katô"
End,2009,7.7,"Adventure,Drama,Fantasy",1h 25m , Not Rated,Meg Welch,,"Pearce Akpata,Lorn Conner,Weston Cody"
Visitor,2002,,Sci-Fi,47m,,Christopher Clarke,,"Warren Bacci,Christopher Clarke,Paul Cameron"
La dernière incarnation,2005,4.2,"Comedy,Horror,Sci-Fi",1h 32m,,Demian Fuica,,"Leonardo Fuica,Gilbert Turp,Catherine Florent"
Project Breakwater,2012,6.5,"Action,Sci-Fi,Thriller",1h 2m,,Brian Clement,,"Luke Marty,Robert Nolan,Matthew Devon Hemans"
Unspeakable Horrors: The Plan 9 Conspiracy,2016,5.5,"Documentary,Biography,Comedy",1h 15m,,Jose Prendes,,"Arielle Brachfeld,Graham Denman,Buz Wallick"
Stealth Hunters,1991,3.2,"Horror,Sci-Fi",1h 30m,,Matt Trotter,,"Carlos Duque,J. Brad Benford,Bruce Carey"
Strongmen,2011,,"Animation,Action,Adventure",1h 24m,,Michael Garcia,,"Lance Bonza,Victor Grant,Fabian Peters"
Real Buddy,2014,5.3,Sci-Fi,52m , TV-14,Frank Mirbach,"Mark Weal,Steve Hudson,Frank Mirbach","Dietrich Hollinderbäumer,Deborah Friedman,Brian Thomas"
Destination: Outer Space,2010,5.5,"Adventure,Sci-Fi",1h 34m,,Christopher R. Mihm,"Josh Craig,Christopher R. Mihm","Josh Craig,Catherine Hansen,M. Scott Taulman"
Litorra,2006,,Sci-Fi,1h 16m , Not Rated,Marc Sokolowski,,"Jesse Jam Miranda,Fredrick Burns,Vanessa Buono"
Control Zeta,2023,6.8,"Action,Crime,Sci-Fi","Control Zeta: Directed by Axel Gaibisso. With María Abadi, Milagros Betti, Oscar Dubini, Sofía Elliot. In a near future, crimes and accidents can be prevented by making just one phone call to the past. However, the peace of this utopian world will be disrupted by a methodical killer who seems to have discovered the only flaw in this system.",,Axel Gaibisso,,"María Abadi,Oscar Dubini,Milagros Betti"
Shani,1989,6.7,Sci-Fi,"Shani: Directed by Saeed Rizvi. With Babra Sharif, Sheri Malik, Farrukh Abid, Ejaz Akhtar. A glowing ship arrives near a village, in Pakistan. From within, a glowing creature appears and assumes the appearance of a young man, Shaani, which is greeted with open arms by the villagers, especially by Hina but little do they know.",,Saeed Rizvi,,"Babra Sharif,Sheri Malik,Farrukh Abid"
Aurora,2015,6.0,"Drama,Sci-Fi",1h 47m,,Guilherme Grosso,,"João DaCosta,André Faria,Carolina Carvalho"
Travelers,2013,4.6,"Action,Adventure,Sci-Fi",1h 23m,,Kôichi Sakamoto,,"Ayumi Kinoshita,Nao Nagasawa,Sanae Hitomi"
Lady Momoko's Adventure,1979,,Sci-Fi,1h 8m,,Kôyû Ohara,,"Ryûmei Azuma,Aki Tôgô,Akiko Hyûga"
Avenge Me,2018,,"Action,Sci-Fi,Thriller","Avenge Me: Directed by Miko Sata. With Lung Ti, Tony Devon, Eric Wolfe, Piper Varagot. Video game characters become a reality game.",,Miko Sata,,"Tony Devon,Lung Ti,Eric Wolfe"
Millenium Day,1995,4.1,Sci-Fi,1h 30m,,Ulli Lommel,,"Miles O'Keeffe,Keith Lewis,Dana Plato"
Échenme al gato,1958,6.0,"Comedy,Crime,Fantasy",1h 30m,,Alejandro Galindo,"Valentín Gazcón,Pancho Córdova","Eulalio González,Adalberto Martínez,Ariadne Welter"
O Kotsos kai oi exogiinoi,1980,3.5,"Sci-Fi,Comedy",1h 41m,,Dimis Dadiras,,"Mary Vidali,Nikos Tsoukas,Kostas Voutsas"
Where's Johnny?,1974,4.8,"Sci-Fi,Family,Adventure",59m,,David Eady,,"Raymond Boal,Perry Benson,Kim Clifford"
Endless Crime,2012,5.2,"Horror,Sci-Fi",1h 28m,,Xia Yong,,"Sek-Ming Lau,Li Chung-Yan,Si Chan"
Talon,2011,6.6,"Fantasy,Horror,Sci-Fi",1h 4m,,Bryan Belser,,"Duane Merrington,Joseph Kolaya III,Sharon Fernbach"
Resonnances,2006,4.8,Sci-Fi,1h 23m , Not Rated,Philippe Robert,,"Johanna Andraos,Vincent Lecompte,Marjorie Dubesset"
Star Wars: The New Republic,2014,6.5,"Action,Adventure,Sci-Fi","IMDb is the world's most popular and authoritative source for movie, TV and celebrity content. Find ratings and reviews for the newest movie and TV shows. Get personalized recommendations, and learn where to watch across hundreds of streaming providers.",,,,
Marriage a la Carte,1916,4.6,"Comedy,Sci-Fi","Marriage a la Carte: Directed by James Young. With Bryant Washburn, Mildred Davis.",,James Young,,"Mildred Davis,Bryant Washburn"
Immortality of the Conscious Mind,2018,,"Drama,Sci-Fi",2h 15m,,Dylan Hoang,,"Kaitlyn Kennedy,Hunter Miller,Dylan Hoang"
Xenoa,2007,5.6,"Action,Fantasy,Sci-Fi","Xenoa: Directed by Xion Lim. With Isabel Granada, Paolo Ballesteros, Rafael Nanquil, Geryk Genasky Aguas. The ruler of Xenoa, Queen La'ian, gives birth to the heirs of her throne: Eli, Zeus, and Drix. She decides to protect her triplets from the scheming leader of rival world Zephyr, General Norak, by sending her children to faraway Earth. Two decades later, the lives of the three estranged siblings intersect in the most unexpected way. Everything they know and love is suddenly threatened when General Norak zeroes in on them from light years away. The spiteful alien wants unconditional, uncontested power over Xenoa, but he is unable to achieve this as long as the true heirs to the throne are still alive. He is so hellbent on ruling Xenoa that he doesn't think twice about turning sibling against sibling in his quest for power.",,Xion Lim,"Maya Cruzada,Ali Co,Xion Lim","Paolo Ballesteros,Isabel Granada,Rafael Nanquil"
Dinosaurs in a Mining Facility,2018,7.9,Sci-Fi,1h 15m,,Jordin Goff,"Jordin Goff,Jacob Stephens,Christian Gough","Jordin Goff,Jacob Stephens,Christian Gough"
If Cain Were Able,2017,,"Drama,Sci-Fi",3h 30m,,Jonathan Poku,,"Monika Lukasik,Melita Cameron-Wood,Samantha Okanlawon"
Super-Speed,1935,7.0,"Drama,Sci-Fi",53m , Approved,Lambert Hillyer,,"Florence Rice,Mary Carlisle,Norman Foster"
